name,email,Phone,Studentid,Department
SHRUTI SAMEEKSHYA DEHURY,cskamell9a@disqus.com,5921514816,23110234,Ai & Robotics
ANUPAM MAHAPATRA,wparnaby9b@google.pl,6841547671,23110195,Electrical
SUVRAJIT SWAIN,bfransinelli9c@accuweather.com,5867490942,23110171,IT
SOUMYAJEET BEHERA,nbahia9d@psu.edu,4621641614,23110373,Textile
TEJASVA KANT SAINI,iyellowlees9e@chronoengine.com,6282580675,23110541,AIML
SHIBRAJ SING,kpetrik9f@irs.gov,9164151257,23110143,Computer Science
TRINATH BISWAL,cjedrzejewsky9g@unicef.org,3678125207,23110184,AIML
SHRITAM BEHERA,zlarner9h@hugedomains.com,6113996665,23110499,AIML
NIKHIL TIRIYA,lputson9i@toplist.cz,2202942842,23110455,E&IE
SAYANSHREE MOHAPATRA,knann9j@sitemeter.com,6898381908,23110233,AIML
SWAYAM SUBHAM DAS,bkohnemann9k@angelfire.com,1785054669,23110536,AIML
K OM SENAPATI,erikkard9l@domainmarket.com,3281947193,23110275,Computer Science
SUBHRA SWETA DASH,whodinton9m@plala.or.jp,7389189033,23110522,Electrical
A S BIGHNESWAR,amcfall9n@nifty.com,1252301730,23110547,Mechanical
SUVAM SWAROOP,jjindracek9o@netscape.com,8905926445,23110530,BioTech
SATYAJIT PATRA,vsuttaby9p@wordpress.org,9123032751,23110496,BioTech
SWASTIK RANJAN PANIGRAHI,apantridge9q@icio.us,3868846297,23110535,Textile
R.H.ARIJIT,gbrimman9r@blog.com,4111444056,23110296,Textile
AVRIL XALXO,ewyke9s@g.co,8892734760,23110418,Electrical
SATYAPRAKASH NAIK,jellett9t@wordpress.org,9981406069,23110307,Civil
TEJASWINI MAJHI,ggorvette9u@berkeley.edu,7414930754,23110542,Textile
RAJA BISOYI,cbarenskie9v@dion.ne.jp,7497267436,23110477,IT
SUBHALAXMI ACHARYA,mjeans9w@patch.com,9754542679,23110517,IT
AMARJYOTI DAS,tlexa9x@wikia.com,3157618357,23110337,Civil
PRITI PARNA PRADHAN,yfirbanks9y@youtube.com,6469456963,23110472,Computer Science
PRAJNA NAYAK,vyushkov9z@csmonitor.com,2177296594,23110465,E&IE
TEJASWINI THAMB,shardena0@comsenz.com,1635705229,23110388,Electrical
BAIBHAB PRADHAN,bearthfielda1@360.cn,4705857367,23110346,E&IE
POOJA RANI ROUTA,smundlea2@indiatimes.com,1958041004,23110357,Civil
S ARYAN DAS,gwrighthama3@va.gov,6313832004,23110365,Mechanical
SK NUMAN,tmorettoa4@europa.eu,6249907134,23110372,Ai & Robotics
ADITYA SAMANTARAY,kmacconchiea5@goo.gl,6587646805,23110334,Textile
SANDEEP MISHRA,cvasicheva6@cdbaby.com,3396405256,23110489,E&IE
HITESH BISWAL,ecommandera7@icio.us,1124406646,23110442,Electrical
PRIYANKA PRIYADARSHINI PRUSTY,siverya8@washingtonpost.com,9608741616,23110474,Civil
PRAYASH KANTA SAHOO,alareda9@craigslist.org,7197408061,23110470,BioTech
ASHUTOSH DASH,mstallardaa@japanpost.jp,6742459378,23110415,Ai & Robotics
HITESH MISHRA,sberdaleab@gravatar.com,5925907787,23110353,Textile
SOUMYA SRICHANDAN,cpowleslandac@youtube.com,9452507096,23110511,Ai & Robotics
SUJATA MURMU,aclayad@jigsy.com,9035165729,23110526,Civil
TAMANNA PANDA,ecrouchae@stumbleupon.com,3325721317,23110537,Ai & Robotics
SWASTI SATAKSHI MAHAPATRA,hmcgrahaf@facebook.com,5171952733,23110383,Ai & Robotics
SOVAN KUMAR MOHAPATRA,mgeallag@ucoz.ru,9423844428,23110315,Mechanical
ANSHUMAN ADITYA DASH,sleylandah@cocolog-nifty.com,7196057895,23110408,AIML
SRITOM MOHANTY,amallinderai@google.nl,6356189095,23110316,E&IE
SUBHAJIT BEHERA,bdanielsaj@whitehouse.gov,6611796952,23110516,AIML
DHANANJAY CHOUDHURY,bdyballak@mediafire.com,3794015628,23110568,Textile
ADARSH SWAIN,cbrosial@google.es,5187858386,23110395,Ai & Robotics
PADMINI NAYAK,wcurroram@msn.com,3577310468,23110461,Electrical
PRATEEK MISHRA,dcouthardan@fc2.com,3954948247,23110291,Computer Science
KRITIKA TANDY,lsawerao@salon.com,9848455760,23110280,Computer Science
SALONI MOHAPATRA,smunnisap@g.co,2999633536,23110299,Ai & Robotics
BIPUL BIKASH,bwitheyaq@lycos.com,4811890046,23110427,BioTech
PRIYANSHU DASH,pjancyar@who.int,7297851234,23110475,Civil
MAMASWARI HEMBRAM,idolderas@exblog.jp,6651137761,23110450,AIML
SUBHASIS ROUT,tdearlepalserat@mlb.com,2894603438,23110318,Computer Science
KRITISH MOHAPATRA,ttornsau@oracle.com,8445156753,23110448,E&IE
AJAYA GOUDA,mhaibelav@printfriendly.com,9713657619,23110552,E&IE
SUMAN SUBHRA CHANDAN SETHY,mlacrouxaw@slideshare.net,1645619819,23110321,AIML
SIWOM PRASAD,ccanadaax@squarespace.com,7131006418,23110505,Ai & Robotics
PRIYADARSHINI SAHANI,bgimberay@rakuten.co.jp,9423276415,23110293,IT
ANUBHAB GHOSH,sdavidovskyaz@macromedia.com,9342223521,23110341,Civil
SWARAJ MOHANTY,alushb0@japanpost.jp,8997231297,23110533,AIML
BISHNUPRIYA BHOI,agarritleyb1@abc.net.au,7298920756,23110428,E&IE
SOUVIK BASURI,bdennittsb2@abc.net.au,8281169586,23110514,IT
TIRTHES KUMAR JENA,cfeaverb3@examiner.com,4215133195,23110545,Textile
SIDHARTH PRUSTY,jmilleyb4@fastcompany.com,6191651572,23110501,AIML
KSHIRA SAGAR KALO,akleeweinb5@pbs.org,9957503161,23110449,BioTech
PRUTHWIRAJ SANIBIGRAHA,ejadob6@goo.ne.jp,3055317415,23110295,Computer Science
DEEPAK KUMAR PRADHAN,mfedynskib7@yellowpages.com,3011182908,23110567,BioTech
AMOGH BARDHAN DASH,rpatelb8@ask.com,7039633423,23110340,Computer Science
ABHIPSHA RANI NAIK,mandriolib9@gmpg.org,2009710393,23110393,BioTech
PRIYANKA PRIYADARSHANI SAHOO,mgrigsba@state.tx.us,4845321580,23110473,Computer Science
SUSHREE SANGITA SAHOO,lholtombb@java.com,2189844387,23110323,Computer Science
ADITYA NARAYAN SAHOO,dhollingbybc@slideshare.net,6036565589,23110332,BioTech
SHREEANSH PANDA,rrobinsbd@opera.com,1195784578,23110369,Textile
SUBHAM JENA,lpfliegerbe@hibu.com,7406748173,23110375,AIML
DEEPALI BHUMIJ,lbeaulieubf@yahoo.co.jp,4803038100,23110436,Electrical
PARTHASARATHI RANA,shickeringillbg@comcast.net,8699574435,23110463,IT
OMMKAR PATTNAIK,mdearanbh@ibm.com,2169547143,23110287,IT
ADITI NAYAK,kkilfoylebi@blogtalkradio.com,9156787171,23110331,Civil
BISHNU MAJHI,lmckirdybj@sakura.ne.jp,2579516462,23110348,BioTech
RASHMI RANJAN DAS,ataintonbk@nih.gov,8592667487,23110481,AIML
ABHIJIT PANDA,cbleacherbl@mtv.com,9399925944,23110392,IT
UDIT KUMAR SAHU,rchengbm@ehow.com,4223035849,23110390,AIML
TANMAYA SAHOO,ebradnockbn@dot.gov,4861205846,23110540,Civil
ARCHITA SWAIN,ehamsherbo@liveinternet.ru,6481588272,23110412,Electrical
SOUMYASHREE BISWAL,mdenisovobp@merriam-webster.com,7302290480,23110513,IT
SATWIK SAI PRAKASH SAHOO,ekwiekbq@creativecommons.org,2154726211,23110494,AIML
ANISH BHARADWAJ,hstannasbr@blogger.com,4924098779,23110558,BioTech
RASHMI RANJAN CHOUDHURY,ddenisobs@webeden.co.uk,5895771814,23110480,Mechanical
RONAK KUMAR MAJHI,dgiannazzobt@about.com,7594651192,23110364,IT
BHAKTI MOHANTY,adibu@examiner.com,7133600696,23110422,BioTech
RANJAN BESRA,bkonmannbv@usda.gov,4385905759,23110479,AIML
SIDDHARTH PRIYANSHU,nbaumerbw@list-manage.com,9192947054,23110500,Mechanical
AKASH KUMAR,koxshottbx@cnet.com,4498238195,23110401,Textile
TANISHA RATH,bbruteby@hhs.gov,3153768922,23110538,BioTech
SAHIL TRIPATHY,cgrationbz@twitpic.com,5514752409,23110298,Mechanical
BISHAL PATTANAIK,gcayzerc0@mtv.com,6544945907,23110563,BioTech
SHREEKSHETRA TUDU,lkleingrubc1@berkeley.edu,5838166845,23110498,AIML
MUSKAN SHRADHA SAMAL,afleyc2@cnn.com,2849745364,23110454,BioTech
DEEPAK KUMAR DORA,fbartletc3@jugem.jp,1091702920,23110435,BioTech
SUBHAM SANTOSH BISWAL,bjegerc4@bigcartel.com,7914789919,23110376,Electrical
PARITOSH RATH,jdexterc5@telegraph.co.uk,8565304388,23110462,Civil
ADITYA KESHARI BHANJA DEO,arostonc6@cafepress.com,2358344789,23110398,Civil
ANSUMAN SAMAL,mohdirscollc7@reference.com,6452660716,23110410,Mechanical
SHUBHRANSHU SEKHAR DALAI,jgricec8@sohu.com,9762418283,23110309,BioTech
PRATYUSH KUMAR SWAIN,ificec9@fastcompany.com,2163824472,23110360,Civil
CHINNARI MATARISWA PATRO,rspillardca@ca.gov,6712001313,23110566,E&IE
SAHIL SAROWN KUJUR,bruselincb@cbc.ca,7733914758,23110485,E&IE
SARBESWAR PANDA,mrivelincc@globo.com,1829391002,23110491,BioTech
SANTANU SINGH,vbuchercd@amazonaws.com,8613687409,23110490,Electrical
IPSITA JENA,jchatce@wired.com,7447259146,23110444,Textile
DINESH KUMAR SAHOO,setchinghamcf@istockphoto.com,4039763536,23110438,IT
IPSITA MOHANTY,ebeniancg@china.com.cn,3581421282,23110569,E&IE
SANJIB KUMAR PANDA,pallgoodch@go.com,7628201011,23110367,Computer Science
SUBRAT MOHARANA,jpetreczci@rakuten.co.jp,7634565243,23110378,Computer Science
RAHUL PRADHAN,ecavecj@pinterest.com,2033137163,23110476,Mechanical
P MOHAN REDDY,mblasonick@who.int,1543750480,23110288,Civil
PRAGNYA PRANATI DAS,aforrecl@woothemes.com,6359328510,23110358,Ai & Robotics
MUSKAAN HABIB,jkytleycm@chicagotribune.com,4422262598,23110453,Electrical
KHUSHI MANDAL,tsiegecn@storify.com,6352989191,23110279,Ai & Robotics
OMM PRAKASH SAHOO,nbinningco@pbs.org,7142338020,23110460,E&IE
SATCHIT SWAIN,amansercp@furl.net,2605006509,23110493,IT
SOURAV BEHERA,mbarbourcq@chicagotribune.com,7191179244,23110374,Mechanical
SHREYANS DAS,idavidoucr@sun.com,6744979383,23110370,Electrical
RISHU SINGH,cduplockcs@usgs.gov,2977788645,23110482,BioTech
GRUHALAXMI SUNA,adaubneyct@ebay.co.uk,5228685418,23110441,Mechanical
PRATYUSH KUMAR BARLA,mpratleycu@ow.ly,5463248466,23110466,AIML
SAMRAT KESHARI PATRI,apuntoncv@blogs.com,1426516000,23110487,Textile
SAGUN HANSDAH,jochterloniecw@imdb.com,4878301001,23110484,Computer Science
AUYASH DASMOHAPATRA,nburnupcx@imgur.com,6026370971,23110345,BioTech
SUBHAMJYOTI PRADHAN,rshaylorcy@guardian.co.uk,3755278104,23110520,Computer Science
SUSHOBHAN NAYAK,cshelbornecz@amazon.co.uk,2433138455,23110529,E&IE
SANDEEP KUMAR MOHANTA,degaltond0@ted.com,7972598098,23110488,BioTech
TEJASWINI NAYAK,afibbend1@mail.ru,1449653759,23110543,BioTech
OM ANSUMAN DEHERI,ghumbyd2@simplemachines.org,9287651062,23110458,Electrical
ARUNDHATI PADHI,vgarfirthd3@harvard.edu,1567415329,23110413,BioTech
KARANAM PRASANT,flamied4@scribd.com,3494340424,23110276,Ai & Robotics
BADRI NARAYAN MISHRA,epoveleyed5@timesonline.co.uk,1849669353,23110421,AIML
ALOK KERKETTA,mjollandsd6@theglobeandmail.com,3956919935,23110556,E&IE
SNEHAL PRADHAN,dpetkovicd7@fc2.com,4095497998,23110509,Ai & Robotics
SAVYA RAJ,lpotteridged8@trellian.com,9427247011,23110497,Textile
ADITYA ARYAN BEHERA,clongbottomd9@marriott.com,7789740854,23110397,BioTech
ARPITA DAS,rkeddyda@people.com.cn,7511390039,23110560,Textile
ANANYA SUBHADARSINI,bvandb@istockphoto.com,5855836232,23110406,Civil
ANKIT KUMAR SINGH,btewelsondc@eepurl.com,8128548316,23110407,Textile
SURYA NARAYAN DASH,rchevisdd@umn.edu,4552399351,23110322,IT
ARADHANA KAR,bduplande@technorati.com,3949772294,23110411,E&IE
TANAB NARAYAN DAS,mchalcraftdf@opensource.org,3561483396,23110385,Mechanical
BHIMA MAJHI,ijahandg@shareasale.com,8314867033,23110423,Civil
MOUSUMI MUDULI,roldisdh@marketwatch.com,3641814782,23110355,Electrical
SURYA KANTA BARIK,cheinldi@ucsd.edu,1925302256,23110527,BioTech
AMITESH KUMAR SAMAL,iskonesdj@toplist.cz,6557261722,23110339,AIML
PRATYUSH PARIDA,meltundk@accuweather.com,1797270390,23110467,Mechanical
PRINCE KUMAR SAHOO,rbrownliedl@mozilla.com,7002484468,23110362,Mechanical
ABHISHEK DORA,omacduffdm@delicious.com,3889777596,23110329,Ai & Robotics
MANOJ KUMAR PANIGRAHI,sferronierdn@ox.ac.uk,4747273135,23110283,Mechanical
NITISH KUMAR MUNDA,jmorguedo@netvibes.com,7343536616,23110456,AIML
SUDHIR KUMAR PANDA,wplaxtondp@redcross.org,1735841056,23110524,Textile
ISHAN KRISHNA DAS,descofierdq@biglobe.ne.jp,2331149120,23110445,BioTech
BIDISHA MAITI,ksayesdr@oracle.com,9662100031,23110425,Ai & Robotics
PIYUSH NANDA,atrassds@blogs.com,7838188531,23110356,Electrical
S JASMIT,bcanlindt@vkontakte.ru,9141884107,23110483,AIML
PRATYUSH GHOSH,ksallerydu@dyndns.org,3646649486,23110359,Civil
BIPASHA PRIYADARSANI SAHU,mgaskerdv@webnode.com,3854700448,23110426,Textile
SUBASISH JENA,bagneydw@tinyurl.com,1795804111,23110317,Ai & Robotics
AKASH PRADHAN,cbouldendx@craigslist.org,5024292823,23110402,Computer Science
ADITYA SAHU,oglamartdy@si.edu,2535659169,23110400,Mechanical
SIGMA SUMAN DHAL,lrealphdz@comcast.net,6699759288,23110502,AIML
SUSHREE SANGEETA PATRA,mmillette0@trellian.com,5434221922,23110380,IT
SATYABRATA PRADHAN,cwornere1@ebay.co.uk,4813240307,23110495,Ai & Robotics
SASWAT JENA,lmcconaghye2@opensource.org,6376021973,23110492,Textile
SAMBIT MOHAPATRA,khartelle3@tripod.com,8651747851,23110486,Mechanical
PRATYUSH RAY,rgorickee4@yahoo.com,7854249593,23110468,IT
SOMEN SUBHADIP ROUT,pfinnemoree5@reuters.com,3067560949,23110312,Computer Science
AKANKHYA SAHU,qthunnerclefe6@soundcloud.com,4891368601,23110553,IT
SUJALL MOHAPATRA,kcaustone7@ihg.com,5611286115,23110320,Mechanical
ASHWINI JAIPURIA,kninottie8@berkeley.edu,1776399483,23110561,BioTech
AMIT KUMAR BARIK,hmattene9@rakuten.co.jp,9154142198,23110403,IT
AKASH RATH,mbolgerea@wikimedia.org,6928604357,23110554,Mechanical
PRIYANSHU HEMBRAM,pwalkdeneb@alibaba.com,8296077937,23110294,Electrical
SWABHIMAAN MAHARANA,bmarinerec@pcworld.com,5606165950,23110381,IT
VIVEKANANDA GURU,mfermored@amazon.com,2908102060,23110327,E&IE
CH PUJITA ACHARY,stueree@oakley.com,8771851534,23110564,IT
SIMRAN PALAI,dhusbyef@ehow.com,3204589021,23110311,Ai & Robotics
PRATYUTPARNA DAS,fhackingeeg@weibo.com,8779287449,23110469,Electrical
SNEHA MOHANTY,kkingeh@loc.gov,4866628497,23110508,Electrical
ANSHUMAN PATTNAIK,jgladwellei@ifeng.com,4022417023,23110409,Textile
HARAPRIYA GOCHHAYAT,garthanej@vimeo.com,2246307174,23110352,E&IE
PREETIS KUMAR MISHRA,aheineckeek@tuttocitta.it,8128277246,23110471,Ai & Robotics
SATYA SARATHI DAS,fcardenasel@ehow.com,6972251502,23110304,Mechanical
ASHISH XALXO,sdeardenem@storify.com,1316288829,23110414,Computer Science
SIRSHOK SUNDAR RAY,hmcmeekinen@bravesites.com,7178764273,23110504,Ai & Robotics
SIKHYAJYOTI PALAI,mbuxceyeo@mayoclinic.com,9141986089,23110503,Computer Science
BOBY KUMAR RAM,breekenep@bloomberg.com,4071166976,23110429,AIML
ADITYA NARAYAN PATI,dvaneq@nsw.gov.au,2175122338,23110399,IT
OM SATYAM DEY,jstatoner@digg.com,5126160104,23110285,Civil
SATYAJIT SAHOO,summfreyes@jiathis.com,6171115951,23110306,E&IE
ADITEE SAMAL,cbroadwoodet@latimes.com,7343351812,23110396,Electrical
UPENDRA MURMU,dduerdeneu@blogger.com,3772132217,23110325,AIML
SOUMYA RANJAN PATRA,tbuddenev@so-net.ne.jp,6039547017,23110510,Electrical
TEJASWINI PARIDA,rhyndleyew@sohu.com,3705371590,23110544,AIML
SOUMYA SAGAR NAYAK,eglennardex@netlog.com,1992621497,23110314,BioTech
RAKESH SAHU,cpieperey@kickstarter.com,5854070559,23110297,BioTech
SHUVAM NAYAK,gmcfaulez@mlb.com,6473796522,23110371,E&IE
TANISHA DASH,jorneblowf0@freewebs.com,1528972606,23110386,E&IE
ADITYA NAYAK,klusheyf1@jiathis.com,7618908685,23110550,Electrical
SUBHRANSU TRIPATHY,rapsf2@si.edu,3226061811,23110523,Textile
OISHI SEN,bneedf3@jimdo.com,3207573210,23110457,Ai & Robotics
AMITOSH PANDA,cnewcombef4@cisco.com,2029264395,23110404,Computer Science
OM SHREE BISWAPRAKASH,bchasenf5@com.com,3184696170,23110459,AIML
SOUMYA SAFALLYA SAHOO,cmcgeachyf6@symantec.com,5036863937,23110313,Computer Science
SWARN KUMAR,vsapenaf7@google.es,5912905449,23110382,Mechanical
IPESH KUMAR SAHU,svautref8@wunderground.com,7206181282,23110443,IT
SWAGAT SWARUP GADTIA,aatrillf9@bbb.org,7645968002,23110532,BioTech
RAJESH KUMAR LENKA,lbainbriggefa@de.vu,9333271962,23110478,Computer Science
DINESH KUMAR SAHOO,dtibolsfb@hp.com,6484641077,23110439,Textile
SAMIKHYA PANIGRAHI,bdouchefc@yelp.com,4939335305,23110300,IT
SUBHASHIS MISHRA,eradishfd@wordpress.org,9365141192,23110377,BioTech
SANGITA LENKA,ilourensfe@mapquest.com,3267590758,23110366,Computer Science
JATIN MAJHI,dduffillff@imdb.com,3477853561,23110354,Computer Science
DEBANSHI PARIDA,alayusfg@ftc.gov,3793771778,23110433,BioTech
ATMAN BEHERA,tdemefh@uol.com.br,5072656130,23110417,Electrical
ASHISH KUMAR MUNDA,pjeppensenfi@amazon.de,3841175049,23110342,Ai & Robotics
CH SUSIL KUMAR SUBUDHI,cborlesfj@joomla.org,3113095718,23110565,Ai & Robotics
UJJWAL KESHRI,csiddelefk@ucsd.edu,8463146698,23110546,E&IE
GOURAHARI DWIBEDI,aspurwayfl@youku.com,5163897143,23110440,E&IE
BIGHNESH KUMAR DAS,dboshardfm@scribd.com,3849485575,23110347,BioTech
SUBHASISH BEHERA,mglavinfn@epa.gov,3548171026,23110319,AIML
PRERANA PUNYAKANKSHI,fmurchfo@redcross.org,8387162177,23110361,Ai & Robotics
BHUPEN KESHARI BHUMIJ,smagogfp@sina.com.cn,7378520879,23110424,E&IE
JAGDISH RANJAN BAL,mbartolomeazzifq@weibo.com,3265540174,23110446,Textile
SUDHANSU KUJUR,sforestelfr@booking.com,7191789558,23110379,BioTech
AYUSH KUMAR MISHRA,amclisefs@timesonline.co.uk,3102358236,23110562,Mechanical
SANTOSH SAMAL,smarryattft@oracle.com,8941220548,23110302,IT
TANUSHREE SAHOO,rbesnardeaufu@privacy.gov.au,5278942549,23110387,Civil
PRADYUSH KUMAR JENA,mbroughtonfv@topsy.com,7679108216,23110464,Ai & Robotics
ASHUTOSH DASH,dgierokfw@edublogs.org,8862883814,23110344,Ai & Robotics
DEBANSHU PANDA,jmatzenfx@globo.com,4962992218,23110434,IT
ANAND AMREET KAMILLA,whexhamfy@ow.ly,2467840993,23110557,Civil
PRASANTA MOHANTY,bblakelockfz@google.ru,8512162714,23110290,Electrical
CHANDU HEMBRAM,otokeg0@goo.ne.jp,2401374052,23110430,IT
DEVJEET BEHERA,crippeng1@xinhuanet.com,9112474791,23110437,Ai & Robotics
BISWAJIT PRADHAN,mquarryg2@tmall.com,7272343226,23110350,Ai & Robotics
PRABHUPRATIK PATTANAIK,ngreevesong3@eventbrite.com,2963765456,23110289,Textile
GAYATRI DAS,hingreg4@t.co,8086167474,23110351,Computer Science
MONALISA MALIK,dlimpertzg5@springer.com,3017821804,23110451,Mechanical
KETAN MOHANTY,ryegorchenkovg6@mediafire.com,7504054416,23110277,E&IE
ADARSHA NATIA,cthurlingg7@umich.edu,9965691102,23110330,AIML
VIBHA MISHRA,ssimionatog8@yelp.com,5932739088,23110326,E&IE
CHIKESH TRIPATHY,aballochg9@github.com,2499911955,23110431,Ai & Robotics
MOUSUMI NAIK,lstraffordga@purevolume.com,5635124624,23110284,E&IE
SWATI SWAGATIKA PRIYADARSHINI,lpadgettgb@discuz.net,1088814806,23110384,Computer Science
SHAAN SIDHARTHA PARIDA,epipworthgc@cisco.com,7825642848,23110368,IT
JYOTIPRAKASH SAHOO,gkefordgd@desdev.cn,4574660837,23110447,Ai & Robotics
SURYANARAYANA SAHOO,phowroydge@phpbb.com,4114956203,23110528,Mechanical
SASANK SEKHAR BISOYI,btimbygf@jigsy.com,7983037743,23110303,Ai & Robotics
SATYAJIT DAS,vpartletongg@nbcnews.com,3341310095,23110305,E&IE
PRATIKSHYA PRIYADARSHINI,pdoveygh@google.it,9376794536,23110292,Civil
SHIVA PRASAD SAHOO,fcotteygi@nps.gov,7383639230,23110308,E&IE
ANUSKA PRADHAN,cdegj@51.la,9873893011,23130002,BioTech
DEBADUTTA PATEL,hbrookesgk@booking.com,6384489057,23110432,IT
AADYAASHRITAA NANDA,lbowleygl@google.it,4951269421,23110391,Computer Science
MUKESH KUMAR DALAI,hklempkegm@europa.eu,2468768170,23110452,Civil
Paule Tye,ptyegn@samsung.com,1033924307,600,E&IE
